hydrophone 0,hydrophone 1,hydrophone 2,hydrophone 3
0.039062500,0.039062500,-0.004882812,-0.017089844
0.041503906,0.041503906,-0.002441406,-0.014648438
0.041503906,0.041503906,-0.004882812,-0.014648438
0.041503906,0.043945312,-0.002441406,-0.014648438
0.039062500,0.043945312,-0.004882812,-0.017089844
0.039062500,0.043945312,-0.002441406,-0.014648438
0.036621094,0.039062500,-0.004882812,-0.017089844
0.036621094,0.043945312,-0.004882812,-0.014648438
0.039062500,0.043945312,-0.007324219,-0.017089844
0.041503906,0.043945312,-0.004882812,-0.014648438
0.039062500,0.043945312,-0.002441406,-0.012207031
0.039062500,0.043945312,-0.004882812,-0.017089844
0.041503906,0.041503906,-0.004882812,-0.017089844
0.041503906,0.046386719,-0.004882812,-0.014648438
0.041503906,0.043945312,-0.007324219,-0.014648438
0.036621094,0.039062500,-0.009765625,-0.017089844
0.041503906,0.043945312,-0.007324219,-0.014648438
0.041503906,0.043945312,-0.009765625,-0.017089844
0.041503906,0.046386719,-0.004882812,-0.012207031
0.043945312,0.046386719,-0.002441406,-0.009765625
0.041503906,0.041503906,-0.007324219,-0.014648438
0.039062500,0.043945312,-0.007324219,-0.012207031
0.041503906,0.046386719,-0.009765625,-0.012207031
0.041503906,0.043945312,-0.007324219,-0.014648438
0.039062500,0.041503906,-0.007324219,-0.014648438
0.039062500,0.041503906,-0.007324219,-0.012207031
0.039062500,0.041503906,-0.007324219,-0.014648438
0.036621094,0.043945312,-0.007324219,-0.014648438
0.039062500,0.041503906,-0.007324219,-0.014648438
0.036621094,0.041503906,-0.004882812,-0.014648438
0.036621094,0.041503906,-0.007324219,-0.014648438
0.041503906,0.043945312,-0.007324219,-0.014648438
0.036621094,0.041503906,-0.007324219,-0.014648438
0.036621094,0.043945312,-0.007324219,-0.017089844
0.036621094,0.043945312,-0.009765625,-0.014648438
0.041503906,0.043945312,-0.007324219,-0.017089844
0.039062500,0.041503906,-0.002441406,-0.012207031
0.036621094,0.041503906,-0.004882812,-0.014648438
0.039062500,0.043945312,-0.004882812,-0.014648438
0.039062500,0.043945312,0.000000000,-0.012207031
0.039062500,0.041503906,0.000000000,-0.014648438
0.036621094,0.041503906,0.002441406,-0.014648438
0.041503906,0.043945312,0.004882812,-0.014648438
0.036621094,0.041503906,0.007324219,-0.012207031
0.039062500,0.041503906,0.004882812,-0.012207031
0.036621094,0.041503906,0.004882812,-0.014648438
0.034179688,0.041503906,0.007324219,-0.012207031
0.039062500,0.043945312,0.007324219,-0.012207031
0.041503906,0.043945312,0.009765625,-0.012207031
0.036621094,0.043945312,0.002441406,-0.019531250
0.039062500,0.043945312,0.004882812,-0.014648438
