force (kg),x_mag,y_mag,z_mag,,,,,
-0.415,-0.003353183,-0.004726129,-0.001604216,,-0.7553,-0.00349257,-0.005626794,-0.000824166
-0.42,-0.005325644,-0.004591097,-0.001905006,,-0.7644,-0.005465031,-0.005491762,-0.001124956
-0.425,-0.004207916,-0.004591097,-0.001905006,,-0.7735,-0.004347303,-0.005491762,-0.001124956
-0.43,-0.005917382,-0.009047161,-0.001905006,,-0.7826,-0.006056769,-0.009947826,-0.001124956
-0.435,-0.005917382,-0.009047161,-0.001905006,,-0.7917,-0.006056769,-0.009947826,-0.001124956
-0.44,-0.005917382,-0.009047161,-0.001905006,,-0.8008,-0.006056769,-0.009947826,-0.001124956
-0.445,-0.005917382,-0.009047161,-0.001905006,,-0.8099,-0.006056769,-0.009947826,-0.001124956
-0.45,-0.014333215,-0.013368194,-0.002807377,,-0.819,-0.014472602,-0.014268859,-0.002027327
-0.455,-0.014333215,-0.013368194,-0.002807377,,-0.8281,-0.014472602,-0.014268859,-0.002027327
-0.46,-0.012360754,-0.007831871,-0.00230606,,-0.8372,-0.012500141,-0.008732536,-0.00152601
-0.465,-0.010651288,-0.009452258,-0.001804743,,-0.8463,-0.010790675,-0.010352923,-0.001024693
-0.47,-0.010651288,-0.009452258,-0.001804743,,-0.8554,-0.010790675,-0.010352923,-0.001024693
-0.475,0.001183476,-0.009317226,-0.002506587,,-0.8645,0.001044089,-0.010217891,-0.001726537
-0.48,-0.014924953,-0.015123613,-0.003208431,,-0.8736,-0.01506434,-0.016024278,-0.002428381
-0.485,-0.00953356,-0.01971471,-0.003810012,,-0.8827,-0.009672947,-0.020615375,-0.003029962
-0.49,-0.016437173,-0.011072645,-0.003208431,,-0.8918,-0.01657656,-0.01197331,-0.002428381
-0.495,-0.013346984,-0.011207677,-0.003308695,,-0.9009,-0.013486372,-0.012108343,-0.002528645
-0.5,-0.016634419,-0.011477742,-0.003810012,,-0.91,-0.016773806,-0.012378407,-0.003029962
-0.505,-0.009928052,-0.018094323,-0.002907641,,-0.9191,-0.01006744,-0.018994988,-0.002127591
-0.51,-0.011769016,-0.011477742,-0.002707114,,-0.9282,-0.011908403,-0.012378407,-0.001927064
-0.515,-0.01104578,-0.018904516,-0.003408958,,-0.9373,-0.011185167,-0.019805181,-0.002628908
-0.52,-0.01157177,-0.017419161,-0.003810012,,-0.9464,-0.011711157,-0.018319826,-0.003029962
-0.525,-0.01157177,-0.017419161,-0.003810012,,-0.9555,-0.011711157,-0.018319826,-0.003029962
-0.53,-0.012755246,-0.017014065,-0.003810012,,-0.9646,-0.012894633,-0.01791473,-0.003029962
-0.535,-0.013872974,-0.010127419,-0.003609485,,-0.9737,-0.014012361,-0.011028085,-0.002829435
-0.54,-0.014201717,-0.010802581,-0.003509222,,-0.9828,-0.014341105,-0.011703246,-0.002729172
-0.545,-0.014464712,-0.016879032,-0.004311329,,-0.9919,-0.014604099,-0.017779697,-0.00353128
-0.55,-0.015779686,-0.013908323,-0.003108168,,-1.001,-0.015919073,-0.014808988,-0.002328118
-0.555,-0.011769016,-0.015663742,-0.003509222,,-1.0101,-0.011908403,-0.016564407,-0.002729172
-0.56,-0.012229257,-0.015933806,-0.003509222,,-1.0192,-0.012368644,-0.016834472,-0.002729172
-0.565,-0.00802134,-0.009722323,-0.002406323,,-1.0283,-0.008160728,-0.010622988,-0.001626274
-0.57,-0.007232356,-0.009722323,-0.002707114,,-1.0374,-0.007371743,-0.010622988,-0.001927064
-0.575,-0.006772115,-0.009722323,-0.001905006,,-1.0465,-0.006911502,-0.010622988,-0.001124956
-0.58,-0.009467812,-0.009182194,-0.00260685,,-1.0556,-0.009607199,-0.010082859,-0.0018268
-0.585,-0.007298105,-0.009722323,-0.00260685,,-1.0647,-0.007437492,-0.010622988,-0.0018268
-0.59,-0.006311874,-0.010262452,-0.00260685,,-1.0738,-0.006451262,-0.011163117,-0.0018268
-0.595,-0.007166607,-0.010127419,-0.001905006,,-1.0829,-0.007305995,-0.011028085,-0.001124956
-0.6,-0.009730806,-0.011072645,-0.002005269,,-1.092,-0.009870194,-0.01197331,-0.00122522
-0.605,-0.009730806,-0.011072645,-0.002005269,,-1.1011,-0.009870194,-0.01197331,-0.00122522
-0.61,-0.009665058,-0.010127419,-0.001704479,,-1.1102,-0.009804445,-0.011028085,-0.000924429
