force (kg),x_mag,y_mag,z_mag,,force (kg),,,
-0.335,0.002958691,-0.001755419,-0.000200527,,-0.6097,0.001698946,0.000741327,-0.000988598
-0.34,0.002958691,-0.001755419,-0.000200527,,-0.6188,0.001698946,0.000741327,-0.000988598
-0.345,0.002958691,-0.002025484,0,,-0.6279,0.001698946,0.000471263,-0.000788071
-0.35,0.002958691,-0.002025484,0,,-0.637,0.001698946,0.000471263,-0.000788071
-0.355,0.003418932,0.000270065,-0.000701844,,-0.6461,0.002159187,0.002766811,-0.001489915
-0.36,0.003418932,0.000270065,-0.000701844,,-0.6552,0.002159187,0.002766811,-0.001489915
-0.365,0.003813424,-0.000810194,-0.000601581,,-0.6643,0.002553679,0.001686553,-0.001389652
-0.37,0.003813424,-0.000810194,-0.000601581,,-0.6734,0.002553679,0.001686553,-0.001389652
-0.375,0.003813424,-0.000810194,-0.000601581,,-0.6825,0.002553679,0.001686553,-0.001389652
-0.38,0.003747675,-0.000810194,-0.000701844,,-0.6916,0.00248793,0.001686553,-0.001489915
-0.385,0.005259895,-0.000945226,-0.000501317,,-0.7007,0.00400015,0.001551521,-0.001289388
-0.39,0.005259895,-0.000945226,-0.000501317,,-0.7098,0.00400015,0.001551521,-0.001289388
-0.395,0.004405162,-0.001755419,-0.000501317,,-0.7189,0.003145417,0.000741327,-0.001289388
-0.4,0.004405162,-0.001755419,-0.000501317,,-0.728,0.003145417,0.000741327,-0.001289388
-0.405,0.004602408,0.000270065,-0.001002635,,-0.7371,0.003342663,0.002766811,-0.001790706
-0.41,0.004339414,0.000405097,-0.001303425,,-0.7462,0.003079669,0.002901843,-0.002091496
-0.415,0.004799654,0.000540129,-0.001002635,,-0.7553,0.00353991,0.003036875,-0.001790706
-0.42,0.005391393,-0.001620387,-0.00030079,,-0.7644,0.004131648,0.000876359,-0.001088861
-0.425,0.000197246,-0.000135032,-0.003709749,,-0.7735,-0.001062499,0.002361714,-0.004497819
-0.43,0.000788984,-0.00121529,0.000501317,,-0.7826,-0.000470761,0.001281456,-0.000286754
-0.435,0.009993801,-0.002160516,-0.001905006,,-0.7917,0.008734056,0.00033623,-0.002693077
